Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
September 1,0.500,28.10 C,10.40 mm
September 2,0.500,28.30 C,1.60 mm
September 3,1.500,28.60 C,2.00 mm
September 4,0.500,23.00 C,0.20 mm
September 5,1.500,21.10 C,0.00 mm
September 6,3.500,22.00 C,0.00 mm
September 7,0.500,25.20 C,5.20 mm
September 8,1.000,16.50 C,0.00 mm
September 9,0.500,18.50 C,0.00 mm
September 10,1.000,19.80 C,0.00 mm
September 11,0.500,17.60 C,0.00 mm
September 12,1.000,21.40 C,0.00 mm
September 13,1.000,26.10 C,3.80 mm
September 14,0.500,17.50 C,0.00 mm
September 15,1.000,19.80 C,0.00 mm
September 16,0.500,25.40 C,0.00 mm
September 17,1.500,19.20 C,0.00 mm
September 18,0.500,15.90 C,0.00 mm
September 19,1.000,14.40 C,0.00 mm
September 20,1.000,16.80 C,0.00 mm
September 21,0.500,19.50 C,0.00 mm
September 22,0.500,21.50 C,0.00 mm
September 23,1.000,27.60 C,0.00 mm
September 24,0.500,25.10 C,2.00 mm
September 25,1.000,24.40 C,0.00 mm
September 26,1.000,25.90 C,0.00 mm
September 27,1.000,27.20 C,0.00 mm
September 28,0.500,26.70 C,8.40 mm
September 29,1.000,19.00 C,2.20 mm
September 30,0.500,19.00 C,5.00 mm
