Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
May 1,1.500,15.70 C,1.20 mm
May 2,2.000,15.60 C,0.60 mm
May 3,1.500,21.00 C,0.00 mm
May 4,1.500,11.40 C,0.00 mm
May 5,1.000,11.40 C,0.00 mm
May 6,1.500,12.80 C,0.00 mm
May 7,1.000,13.60 C,0.40 mm
May 8,1.000,4.80 C,0.00 mm
May 9,1.000,6.80 C,0.40 mm
May 10,1.500,8.20 C,0.40 mm
May 11,1.000,7.80 C,7.20 mm
May 12,1.500,8.60 C,0.00 mm
May 13,1.000,12.80 C,0.00 mm
May 14,1.000,13.20 C,3.40 mm
May 15,0.500,19.10 C,3.40 mm
May 16,1.000,16.90 C,0.00 mm
May 17,1.500,16.30 C,2.00 mm
May 18,1.500,15.20 C,10.80 mm
May 19,1.000,17.10 C,0.00 mm
May 20,1.000,19.20 C,0.00 mm
May 21,1.000,20.70 C,0.00 mm
May 22,1.000,23.90 C,0.00 mm
May 23,1.000,24.90 C,0.00 mm
May 24,1.000,25.90 C,0.40 mm
May 25,1.000,30.30 C,0.00 mm
May 26,1.000,31.00 C,0.00 mm
May 27,1.500,28.40 C,0.00 mm
May 28,0.500,22.80 C,6.60 mm
May 29,1.000,25.70 C,6.20 mm
May 30,1.000,18.70 C,0.00 mm
May 31,1.000,16.30 C,0.20 mm
