Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
December 1,1.000,-0.10 C,8.40 mm
December 2,0.500,3.80 C,1.00 mm
December 3,0.500,4.10 C,0.00 mm
December 4,1.000,3.40 C,3.60 mm
December 5,1.000,1.70 C,0.00 mm
December 6,1.000,0.70 C,0.00 mm
December 7,1.000,1.00 C,0.00 mm
December 8,1.000,1.90 C,0.00 mm
December 9,0.500,4.40 C,4.00 mm
December 10,1.000,5.90 C,0.00 mm
December 11,1.000,9.40 C,0.00 mm
December 12,1.000,9.10 C,8.00 mm
December 13,0.500,5.10 C,0.00 mm
December 14,1.000,1.70 C,0.00 mm
December 15,1.000,-2.40 C,0.20 mm
December 16,1.000,-5.60 C,1.40 mm
December 17,2.000,-2.70 C,0.60 mm
December 18,1.000,-1.30 C,0.00 mm
December 19,1.000,2.50 C,2.20 mm
December 20,1.000,5.00 C,1.20 mm
December 21,1.000,4.30 C,0.20 mm
December 22,1.000,2.70 C,0.00 mm
December 23,0.500,6.30 C,1.80 mm
December 24,0.500,9.60 C,12.40 mm
December 25,1.000,-0.40 C,8.00 mm
December 26,0.500,-2.50 C,1.60 mm
December 27,1.000,2.50 C,1.00 mm
December 28,1.000,4.40 C,5.20 mm
December 29,1.000,-1.20 C,0.00 mm
December 30,1.000,5.10 C,3.20 mm
December 31,0.500,,
