Water Use (m³),Outside Temperature (°C),Precipitation (mm),Date,Year
1.0,1.60 C,8.00 mm,2021-01-01,2021
0.5,1.20 C,6.80 mm,2021-01-02,2021
1.0,1.10 C,1.60 mm,2021-01-03,2021
1.0,1.10 C,0.00 mm,2021-01-04,2021
0.5,1.00 C,0.20 mm,2021-01-05,2021
1.0,2.00 C,0.20 mm,2021-01-06,2021
0.5,-0.60 C,0.00 mm,2021-01-07,2021
1.0,-3.50 C,0.00 mm,2021-01-08,2021
0.5,3.30 C,0.00 mm,2021-01-09,2021
1.0,1.90 C,0.00 mm,2021-01-10,2021
0.5,0.20 C,0.00 mm,2021-01-11,2021
1.0,-1.20 C,0.00 mm,2021-01-12,2021
1.0,3.10 C,0.00 mm,2021-01-13,2021
0.5,4.60 C,0.00 mm,2021-01-14,2021
1.0,5.60 C,5.00 mm,2021-01-15,2021
0.5,4.70 C,0.00 mm,2021-01-16,2021
0.5,4.20 C,0.60 mm,2021-01-17,2021
1.0,0.90 C,0.00 mm,2021-01-18,2021
1.0,0.00 C,0.60 mm,2021-01-19,2021
1.0,-2.20 C,0.00 mm,2021-01-20,2021
0.5,3.10 C,0.20 mm,2021-01-21,2021
1.0,1.00 C,0.40 mm,2021-01-22,2021
1.0,-4.80 C,0.00 mm,2021-01-23,2021
0.5,-2.70 C,0.00 mm,2021-01-24,2021
1.0,1.90 C,0.00 mm,2021-01-25,2021
0.5,-0.50 C,7.40 mm,2021-01-26,2021
1.0,-3.30 C,0.00 mm,2021-01-27,2021
2.5,-7.80 C,0.00 mm,2021-01-28,2021
1.5,-7.10 C,0.20 mm,2021-01-29,2021
0.5,-2.20 C,0.00 mm,2021-01-30,2021
1.5,-5.20 C,0.00 mm,2021-01-31,2021
1.0,-3.70 C,0.00 mm,2021-02-01,2021
0.5,-0.90 C,0.00 mm,2021-02-02,2021
1.0,0.60 C,0.00 mm,2021-02-03,2021
1.0,4.30 C,1.40 mm,2021-02-04,2021
0.5,1.70 C,5.20 mm,2021-02-05,2021
0.5,-6.00 C,0.00 mm,2021-02-06,2021
1.0,-6.20 C,0.60 mm,2021-02-07,2021
0.5,-6.50 C,0.20 mm,2021-02-08,2021
1.0,-2.70 C,1.00 mm,2021-02-09,2021
0.5,-5.30 C,0.00 mm,2021-02-10,2021
1.0,-4.70 C,0.00 mm,2021-02-11,2021
0.5,-8.30 C,1.80 mm,2021-02-12,2021
0.5,-9.10 C,2.20 mm,2021-02-13,2021
1.0,-4.00 C,0.40 mm,2021-02-14,2021
1.0,-4.20 C,3.20 mm,2021-02-15,2021
1.0,-7.00 C,8.80 mm,2021-02-16,2021
0.5,,,2021-02-17,2021
0.5,,,2021-02-18,2021
1.0,-2.50 C,7.80 mm,2021-02-19,2021
0.5,-1.80 C,0.40 mm,2021-02-20,2021
1.0,-1.50 C,0.00 mm,2021-02-21,2021
0.5,2.80 C,4.80 mm,2021-02-22,2021
1.0,4.30 C,0.20 mm,2021-02-23,2021
0.5,8.40 C,0.00 mm,2021-02-24,2021
0.5,0.90 C,0.00 mm,2021-02-25,2021
1.0,3.80 C,0.00 mm,2021-02-26,2021
0.5,5.80 C,6.20 mm,2021-02-27,2021
0.5,6.50 C,1.00 mm,2021-02-28,2021
1.0,5.40 C,0.00 mm,2021-03-01,2021
1.0,0.20 C,0.00 mm,2021-03-02,2021
1.5,7.20 C,0.00 mm,2021-03-03,2021
1.5,0.80 C,0.00 mm,2021-03-04,2021
1.0,1.60 C,0.00 mm,2021-03-05,2021
1.0,-0.20 C,0.00 mm,2021-03-06,2021
1.0,-0.40 C,0.00 mm,2021-03-07,2021
0.5,9.60 C,0.20 mm,2021-03-08,2021
0.5,10.60 C,0.00 mm,2021-03-09,2021
0.5,15.30 C,0.00 mm,2021-03-10,2021
1.0,19.30 C,2.00 mm,2021-03-11,2021
0.5,11.30 C,0.00 mm,2021-03-12,2021
0.5,5.60 C,0.00 mm,2021-03-13,2021
1.0,3.50 C,0.00 mm,2021-03-14,2021
0.5,-1.00 C,0.00 mm,2021-03-15,2021
1.0,3.50 C,0.00 mm,2021-03-16,2021
0.5,9.00 C,0.00 mm,2021-03-17,2021
0.5,6.80 C,0.40 mm,2021-03-18,2021
1.0,3.70 C,0.00 mm,2021-03-19,2021
0.5,14.90 C,0.00 mm,2021-03-20,2021
0.5,14.90 C,0.00 mm,2021-03-21,2021
0.5,16.10 C,0.00 mm,2021-03-22,2021
0.5,15.50 C,0.00 mm,2021-03-23,2021
1.0,17.60 C,0.80 mm,2021-03-24,2021
1.0,21.50 C,1.00 mm,2021-03-25,2021
0.0,10.50 C,34.60 mm,2021-03-26,2021
1.0,8.20 C,0.20 mm,2021-03-27,2021
0.5,10.10 C,6.20 mm,2021-03-28,2021
0.5,7.10 C,0.00 mm,2021-03-29,2021
1.0,20.30 C,0.00 mm,2021-03-30,2021
1.0,14.70 C,0.00 mm,2021-03-31,2021
0.5,2.60 C,0.00 mm,2021-04-01,2021
0.5,4.70 C,0.00 mm,2021-04-02,2021
0.5,9.50 C,0.00 mm,2021-04-03,2021
1.0,15.10 C,0.00 mm,2021-04-04,2021
0.5,13.50 C,0.00 mm,2021-04-05,2021
