Water Use (m³),Outside Temperature (°C),Precipitation (mm),Date,Year
2.0,14.30 C,0.00 mm,2020-04-27,2020
2.0,13.30 C,0.00 mm,2020-04-28,2020
1.5,14.20 C,1.00 mm,2020-04-29,2020
1.0,14.20 C,6.20 mm,2020-04-30,2020
1.5,15.70 C,1.20 mm,2020-05-01,2020
2.0,15.60 C,0.60 mm,2020-05-02,2020
1.5,21.00 C,0.00 mm,2020-05-03,2020
1.5,11.40 C,0.00 mm,2020-05-04,2020
1.0,11.40 C,0.00 mm,2020-05-05,2020
1.5,12.80 C,0.00 mm,2020-05-06,2020
1.0,13.60 C,0.40 mm,2020-05-07,2020
1.0,4.80 C,0.00 mm,2020-05-08,2020
1.0,6.80 C,0.40 mm,2020-05-09,2020
1.5,8.20 C,0.40 mm,2020-05-10,2020
1.0,7.80 C,7.20 mm,2020-05-11,2020
1.5,8.60 C,0.00 mm,2020-05-12,2020
1.0,12.80 C,0.00 mm,2020-05-13,2020
1.0,13.20 C,3.40 mm,2020-05-14,2020
0.5,19.10 C,3.40 mm,2020-05-15,2020
1.0,16.90 C,0.00 mm,2020-05-16,2020
1.5,16.30 C,2.00 mm,2020-05-17,2020
1.5,15.20 C,10.80 mm,2020-05-18,2020
1.0,17.10 C,0.00 mm,2020-05-19,2020
1.0,19.20 C,0.00 mm,2020-05-20,2020
1.0,20.70 C,0.00 mm,2020-05-21,2020
1.0,23.90 C,0.00 mm,2020-05-22,2020
1.0,24.90 C,0.00 mm,2020-05-23,2020
1.0,25.90 C,0.40 mm,2020-05-24,2020
1.0,30.30 C,0.00 mm,2020-05-25,2020
1.0,31.00 C,0.00 mm,2020-05-26,2020
1.5,28.40 C,0.00 mm,2020-05-27,2020
0.5,22.80 C,6.60 mm,2020-05-28,2020
1.0,25.70 C,6.20 mm,2020-05-29,2020
1.0,18.70 C,0.00 mm,2020-05-30,2020
1.0,16.30 C,0.20 mm,2020-05-31,2020
1.0,23.70 C,0.00 mm,2020-06-01,2020
1.5,27.20 C,10.40 mm,2020-06-02,2020
0.5,27.40 C,5.40 mm,2020-06-03,2020
1.5,30.00 C,0.00 mm,2020-06-04,2020
1.0,28.30 C,2.60 mm,2020-06-05,2020
1.0,26.10 C,0.00 mm,2020-06-06,2020
1.0,20.90 C,0.00 mm,2020-06-07,2020
1.0,22.80 C,0.00 mm,2020-06-08,2020
1.0,31.60 C,0.00 mm,2020-06-09,2020
1.0,32.10 C,24.40 mm,2020-06-10,2020
1.0,24.30 C,0.00 mm,2020-06-11,2020
2.0,17.90 C,0.00 mm,2020-06-12,2020
1.0,18.70 C,0.00 mm,2020-06-13,2020
1.0,17.60 C,0.00 mm,2020-06-14,2020
0.5,21.00 C,0.00 mm,2020-06-15,2020
1.0,24.40 C,0.00 mm,2020-06-16,2020
3.0,27.50 C,0.00 mm,2020-06-17,2020
0.5,29.30 C,0.00 mm,2020-06-18,2020
2.5,29.70 C,0.00 mm,2020-06-19,2020
1.0,30.60 C,0.00 mm,2020-06-20,2020
1.0,30.80 C,0.00 mm,2020-06-21,2020
2.0,30.30 C,0.20 mm,2020-06-22,2020
0.5,25.50 C,4.00 mm,2020-06-23,2020
2.0,23.40 C,0.00 mm,2020-06-24,2020
0.5,26.90 C,0.00 mm,2020-06-25,2020
1.0,30.20 C,0.00 mm,2020-06-26,2020
0.5,29.40 C,2.80 mm,2020-06-27,2020
2.5,29.30 C,0.00 mm,2020-06-28,2020
1.5,32.10 C,0.00 mm,2020-06-29,2020
4.0,27.50 C,0.00 mm,2020-06-30,2020
4.5,29.90 C,0.00 mm,2020-07-01,2020
3.5,35.50 C,0.00 mm,2020-07-02,2020
3.0,32.40 C,0.00 mm,2020-07-03,2020
3.5,32.00 C,0.00 mm,2020-07-04,2020
3.0,34.00 C,0.00 mm,2020-07-05,2020
3.5,31.30 C,0.00 mm,2020-07-06,2020
5.0,34.00 C,0.00 mm,2020-07-07,2020
2.5,34.60 C,6.20 mm,2020-07-08,2020
2.0,34.30 C,0.00 mm,2020-07-09,2020
2.0,32.30 C,16.60 mm,2020-07-10,2020
1.0,28.40 C,21.00 mm,2020-07-11,2020
1.0,27.90 C,0.00 mm,2020-07-12,2020
1.5,25.30 C,1.00 mm,2020-07-13,2020
0.5,26.80 C,0.00 mm,2020-07-14,2020
2.0,28.20 C,0.00 mm,2020-07-15,2020
1.0,25.60 C,2.80 mm,2020-07-16,2020
1.0,31.40 C,0.00 mm,2020-07-17,2020
2.0,33.20 C,0.00 mm,2020-07-18,2020
2.5,31.20 C,9.00 mm,2020-07-19,2020
1.5,29.60 C,0.00 mm,2020-07-20,2020
0.5,26.20 C,0.00 mm,2020-07-21,2020
1.0,26.70 C,9.60 mm,2020-07-22,2020
0.5,27.60 C,0.00 mm,2020-07-23,2020
1.0,27.60 C,0.00 mm,2020-07-24,2020
1.5,30.00 C,0.00 mm,2020-07-25,2020
2.5,33.50 C,0.00 mm,2020-07-26,2020
0.5,32.70 C,0.80 mm,2020-07-27,2020
2.0,31.10 C,0.00 mm,2020-07-28,2020
0.5,30.70 C,0.60 mm,2020-07-29,2020
4.0,28.10 C,0.00 mm,2020-07-30,2020
1.0,28.80 C,0.00 mm,2020-07-31,2020
1.0,30.00 C,3.80 mm,2020-08-01,2020
1.0,28.40 C,37.00 mm,2020-08-02,2020
0.5,24.90 C,26.80 mm,2020-08-03,2020
1.5,24.60 C,10.40 mm,2020-08-04,2020
2.0,23.90 C,0.00 mm,2020-08-05,2020
1.5,23.90 C,0.00 mm,2020-08-06,2020
0.5,25.60 C,0.00 mm,2020-08-07,2020
1.0,27.10 C,0.00 mm,2020-08-08,2020
1.0,30.60 C,0.00 mm,2020-08-09,2020
2.0,32.10 C,0.00 mm,2020-08-10,2020
3.5,28.90 C,0.00 mm,2020-08-11,2020
0.5,29.80 C,0.00 mm,2020-08-12,2020
