Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
May 1,1.000,10.60 C,2.80 mm
May 2,1.500,6.90 C,9.20 mm
May 3,1.500,11.10 C,6.20 mm
May 4,0.500,11.10 C,0.00 mm
May 5,1.500,14.50 C,0.20 mm
May 6,1.500,17.90 C,0.00 mm
May 7,1.500,16.30 C,11.00 mm
May 8,1.000,19.60 C,0.00 mm
May 9,1.500,15.90 C,0.00 mm
May 10,1.000,21.40 C,0.00 mm
May 11,1.500,26.60 C,0.00 mm
May 12,1.500,28.40 C,0.00 mm
May 13,1.500,23.30 C,0.00 mm
May 14,1.500,17.80 C,0.00 mm
May 15,1.000,22.80 C,0.00 mm
May 16,1.000,24.00 C,0.00 mm
May 17,1.000,11.50 C,0.00 mm
May 18,1.000,14.30 C,0.00 mm
May 19,1.500,22.20 C,15.40 mm
May 20,1.500,16.60 C,14.00 mm
May 21,1.500,24.10 C,0.00 mm
May 22,1.000,16.50 C,0.00 mm
May 23,1.000,20.40 C,0.00 mm
May 24,1.500,17.00 C,0.00 mm
May 25,1.000,16.40 C,0.00 mm
May 26,1.000,20.20 C,0.00 mm
May 27,1.500,23.50 C,0.00 mm
May 28,1.500,27.80 C,0.00 mm
May 29,1.500,24.90 C,0.00 mm
May 30,1.000,27.20 C,0.00 mm
May 31,1.500,30.50 C,0.00 mm
