Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
January 1,0.500,4.20 C,2.80 mm
January 2,1.500,5.10 C,0.00 mm
January 3,1.000,4.00 C,4.00 mm
January 4,0.500,3.70 C,20.80 mm
January 5,1.500,4.20 C,1.20 mm
January 6,1.000,4.20 C,0.20 mm
January 7,1.000,2.10 C,0.00 mm
January 8,1.000,-2.20 C,0.00 mm
January 9,1.000,1.20 C,0.00 mm
January 10,0.500,0.80 C,0.00 mm
January 11,1.000,1.40 C,0.20 mm
January 12,1.000,3.60 C,6.20 mm
January 13,0.500,-0.50 C,4.60 mm
January 14,1.500,-3.20 C,0.00 mm
January 15,1.000,-1.40 C,0.00 mm
January 16,0.500,1.80 C,0.00 mm
January 17,1.000,4.40 C,3.80 mm
January 18,1.000,4.90 C,0.20 mm
January 19,0.500,3.30 C,3.20 mm
January 20,1.000,2.60 C,1.40 mm
January 21,0.500,0.20 C,0.00 mm
January 22,1.500,1.30 C,2.80 mm
January 23,1.000,2.00 C,0.00 mm
January 24,1.000,3.20 C,0.20 mm
January 25,1.000,1.40 C,15.00 mm
January 26,1.000,1.40 C,1.20 mm
January 27,1.000,0.40 C,0.80 mm
January 28,1.000,2.10 C,0.40 mm
January 29,1.500,0.30 C,8.20 mm
January 30,1.000,-2.40 C,0.20 mm
January 31,1.000,-5.90 C,0.00 mm
