Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
September 1,2.500,23.70 C,0.00 mm
September 2,2.000,26.20 C,0.20 mm
September 3,1.000,31.80 C,0.00 mm
September 4,2.000,34.00 C,0.00 mm
September 5,2.500,33.10 C,0.00 mm
September 6,2.000,31.90 C,0.00 mm
September 7,2.500,29.00 C,3.00 mm
September 8,3.000,20.50 C,0.00 mm
September 9,2.000,20.10 C,0.00 mm
September 10,2.000,22.90 C,0.00 mm
September 11,2.500,24.60 C,0.00 mm
September 12,2.000,23.10 C,6.20 mm
September 13,1.500,19.30 C,0.00 mm
September 14,2.000,20.00 C,0.00 mm
September 15,2.500,20.50 C,0.00 mm
September 16,2.500,24.10 C,0.00 mm
September 17,2.500,23.60 C,0.00 mm
September 18,1.500,21.90 C,0.00 mm
September 19,1.500,20.90 C,0.00 mm
September 20,2.000,21.10 C,0.00 mm
September 21,1.500,22.20 C,0.00 mm
September 22,2.000,22.30 C,0.00 mm
September 23,2.000,22.40 C,0.00 mm
September 24,2.000,22.80 C,0.00 mm
September 25,1.500,24.40 C,0.00 mm
September 26,1.500,20.30 C,0.00 mm
September 27,2.000,20.30 C,0.00 mm
September 28,1.500,18.80 C,0.80 mm
September 29,1.500,21.40 C,1.00 mm
September 30,4.000,23.20 C,0.00 mm
