Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
June 1,1.000,30.90 C,0.00 mm
June 2,1.500,32.30 C,0.60 mm
June 3,1.000,22.10 C,0.00 mm
June 4,1.500,20.50 C,0.00 mm
June 5,1.500,24.90 C,0.00 mm
June 6,2.000,23.30 C,0.00 mm
June 7,1.500,21.30 C,0.00 mm
June 8,1.500,19.10 C,0.60 mm
June 9,1.000,22.10 C,3.60 mm
June 10,2.000,27.30 C,0.00 mm
June 11,1.500,23.10 C,10.20 mm
June 12,1.000,18.80 C,31.00 mm
June 13,1.000,19.90 C,4.00 mm
June 14,2.000,20.60 C,0.00 mm
June 15,1.500,21.30 C,2.20 mm
June 16,2.000,23.40 C,0.00 mm
June 17,2.000,25.40 C,0.00 mm
June 18,1.000,25.20 C,0.00 mm
June 19,1.500,25.00 C,0.00 mm
June 20,1.500,26.00 C,0.00 mm
June 21,1.500,27.10 C,0.00 mm
June 22,2.500,25.40 C,0.00 mm
June 23,1.500,24.70 C,5.20 mm
June 24,1.000,26.60 C,0.60 mm
June 25,2.000,28.10 C,10.20 mm
June 26,1.000,23.40 C,27.20 mm
June 27,1.000,23.50 C,11.80 mm
June 28,1.000,23.80 C,0.00 mm
June 29,1.000,25.60 C,0.00 mm
June 30,2.000,25.50 C,0.80 mm
