# Your daily usage (2023-11-14)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2023-10-06,6.58,7.34,6.89,,,,,,,0.49,0.75,1.04,,,,,,,18
2023-10-07,27.35,0.00,0.00,,,,,,,2.02,0.00,0.00,,,,,,,11
2023-10-08,43.55,0.00,0.00,,,,,,,3.22,0.00,0.00,,,,,,,9
2023-10-09,48.38,0.00,0.00,,,,,,,3.58,0.00,0.00,,,,,,,9
2023-10-10,26.97,12.10,8.74,,,,,,,2.00,1.23,1.32,,,,,,,10
2023-10-11,30.00,10.87,9.48,,,,,,,2.22,1.11,1.43,,,,,,,11
2023-10-12,18.58,7.12,1.56,,,,,,,1.37,0.73,0.24,,,,,,,10
2023-10-13,17.51,8.25,2.33,,,,,,,1.30,0.84,0.35,,,,,,,10
2023-10-14,52.99,0.00,0.00,,,,,,,3.92,0.00,0.00,,,,,,,11
2023-10-15,59.97,0.00,0.00,,,,,,,4.44,0.00,0.00,,,,,,,9
2023-10-16,39.15,13.38,12.37,,,,,,,2.90,1.36,1.87,,,,,,,11
2023-10-17,24.23,8.89,2.24,,,,,,,1.79,0.91,0.34,,,,,,,11
2023-10-18,18.04,8.29,6.55,,,,,,,1.33,0.85,0.99,,,,,,,11
2023-10-19,11.42,7.59,5.12,,,,,,,0.85,0.77,0.77,,,,,,,13
2023-10-20,20.08,7.36,9.75,,,,,,,1.49,0.75,1.47,,,,,,,12
2023-10-21,30.79,0.00,0.00,,,,,,,2.28,0.00,0.00,,,,,,,9
2023-10-22,25.94,0.00,0.00,,,,,,,1.92,0.00,0.00,,,,,,,6
2023-10-23,12.62,5.95,3.98,,,,,,,0.93,0.61,0.60,,,,,,,7
2023-10-24,10.62,8.33,5.70,,,,,,,0.79,0.85,0.86,,,,,,,15
2023-10-25,7.41,3.84,4.21,,,,,,,0.55,0.39,0.64,,,,,,,18
2023-10-26,8.66,6.21,2.70,,,,,,,0.64,0.63,0.41,,,,,,,17
2023-10-27,9.86,5.48,3.34,,,,,,,0.73,0.56,0.50,,,,,,,21
2023-10-28,26.90,0.00,0.00,,,,,,,1.99,0.00,0.00,,,,,,,12
2023-10-29,33.44,0.00,0.00,,,,,,,2.47,0.00,0.00,,,,,,,5
2023-10-30,6.21,6.05,11.66,,,,,,,0.46,0.62,1.76,,,,,,,3
2023-10-31,15.12,4.35,4.30,,,,,,,1.12,0.44,0.65,,,,,,,3
2023-11-01,8.12,5.47,4.96,,,,,,,0.71,0.67,0.90,,,,,,,2
2023-11-02,10.49,2.36,3.99,,,,,,,0.91,0.29,0.73,,,,,,,6
2023-11-03,8.60,5.00,5.08,,,,,,,0.75,0.61,0.92,,,,,,,11
2023-11-04,38.41,0.00,0.00,,,,,,,3.34,0.00,0.00,,,,,,,9
2023-11-05,41.38,0.00,0.00,,,,,,,3.60,0.00,0.00,,,,,,,6
2023-11-06,14.42,6.11,3.66,,,,,,,1.25,0.75,0.67,,,,,,,10
2023-11-07,7.94,8.43,5.60,,,,,,,0.69,1.03,1.02,,,,,,,6
2023-11-08,9.22,5.33,5.13,,,,,,,0.80,0.65,0.93,,,,,,,0
