# Your daily usage (2023-12-13)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2023-11-09,7.61,2.92,5.73,,,,,,,0.66,0.36,1.04,,,,,,,8
2023-11-10,7.11,2.48,4.73,,,,,,,0.62,0.30,0.86,,,,,,,6
2023-11-11,22.15,0.00,0.00,,,,,,,1.93,0.00,0.00,,,,,,,2
2023-11-12,41.98,0.00,0.00,,,,,,,3.65,0.00,0.00,,,,,,,2
2023-11-13,9.90,6.61,7.37,,,,,,,0.86,0.81,1.34,,,,,,,8
2023-11-14,9.48,4.38,3.86,,,,,,,0.82,0.53,0.70,,,,,,,6
2023-11-15,11.18,9.00,5.50,,,,,,,0.97,1.10,1.00,,,,,,,9
2023-11-16,7.85,2.27,5.32,,,,,,,0.68,0.28,0.97,,,,,,,7
2023-11-17,9.75,3.71,7.11,,,,,,,0.85,0.45,1.29,,,,,,,8
2023-11-18,32.70,0.00,0.00,,,,,,,2.84,0.00,0.00,,,,,,,3
2023-11-19,35.20,0.00,0.00,,,,,,,3.06,0.00,0.00,,,,,,,3
2023-11-20,11.83,5.60,5.95,,,,,,,1.03,0.68,1.08,,,,,,,-2
2023-11-21,15.41,5.10,5.96,,,,,,,1.34,0.62,1.08,,,,,,,3
2023-11-22,17.34,6.24,7.48,,,,,,,1.51,0.76,1.36,,,,,,,4
2023-11-23,11.69,5.05,8.56,,,,,,,1.02,0.62,1.56,,,,,,,4
2023-11-24,14.27,10.79,8.38,,,,,,,1.24,1.32,1.53,,,,,,,-2
2023-11-25,56.07,0.00,0.00,,,,,,,4.88,0.00,0.00,,,,,,,-1
2023-11-26,45.22,0.00,0.00,,,,,,,3.93,0.00,0.00,,,,,,,3
2023-11-27,11.68,10.32,5.29,,,,,,,1.02,1.26,0.96,,,,,,,-1
2023-11-28,14.05,7.47,11.62,,,,,,,1.22,0.91,2.11,,,,,,,-3
2023-11-29,24.11,26.53,11.30,,,,,,,2.10,3.24,2.06,,,,,,,-2
2023-11-30,15.02,17.80,15.89,,,,,,,1.31,2.17,2.89,,,,,,,4
2023-12-01,12.55,8.53,6.51,,,,,,,1.09,1.04,1.18,,,,,,,5
2023-12-02,38.38,0.00,0.00,,,,,,,3.34,0.00,0.00,,,,,,,2
2023-12-03,31.11,0.00,0.00,,,,,,,2.71,0.00,0.00,,,,,,,2
2023-12-04,10.08,4.36,5.22,,,,,,,0.88,0.53,0.95,,,,,,,2
2023-12-05,8.91,4.04,11.03,,,,,,,0.78,0.49,2.01,,,,,,,1
2023-12-06,11.07,8.84,4.48,,,,,,,0.96,1.08,0.82,,,,,,,-2
2023-12-07,8.89,7.21,5.28,,,,,,,0.77,0.88,0.96,,,,,,,2
