# Your daily usage (2023-05-12)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2023-04-12,7.03,5.27,9.06,,,,,,,0.52,0.54,1.37,,,,,,,19
2023-04-13,10.60,5.86,5.55,,,,,,,0.78,0.60,0.84,,,,,,,21
2023-04-14,9.49,8.08,6.91,,,,,,,0.70,0.82,1.04,,,,,,,20
2023-04-15,26.84,0.00,0.00,,,,,,,1.99,0.00,0.00,,,,,,,18
2023-04-16,32.61,0.00,0.00,,,,,,,2.41,0.00,0.00,,,,,,,17
2023-04-17,14.22,5.45,5.75,,,,,,,1.05,0.56,0.87,,,,,,,6
2023-04-18,13.57,4.35,8.05,,,,,,,1.00,0.44,1.22,,,,,,,3
2023-04-19,13.13,7.28,5.92,,,,,,,0.97,0.74,0.89,,,,,,,5
2023-04-20,24.09,12.47,7.24,,,,,,,1.78,1.27,1.09,,,,,,,7
2023-04-21,21.44,8.47,6.40,,,,,,,1.59,0.86,0.97,,,,,,,14
2023-04-22,43.85,0.00,0.00,,,,,,,3.24,0.00,0.00,,,,,,,9
2023-04-23,39.57,0.00,0.00,,,,,,,2.93,0.00,0.00,,,,,,,6
2023-04-24,13.09,8.26,9.61,,,,,,,0.97,0.84,1.45,,,,,,,6
2023-04-25,12.30,8.66,5.92,,,,,,,0.91,0.88,0.89,,,,,,,7
2023-04-26,9.53,6.14,6.34,,,,,,,0.71,0.63,0.96,,,,,,,5
2023-04-27,15.16,12.93,7.89,,,,,,,1.12,1.32,1.19,,,,,,,6
2023-04-28,10.67,8.47,5.27,,,,,,,0.79,0.86,0.80,,,,,,,10
2023-04-29,24.05,0.00,0.00,,,,,,,1.78,0.00,0.00,,,,,,,8
2023-04-30,35.42,0.00,0.00,,,,,,,2.62,0.00,0.00,,,,,,,9
2023-05-01,9.73,4.40,4.99,,,,,,,0.72,0.45,0.75,,,,,,,8
2023-05-02,11.59,4.43,4.83,,,,,,,0.86,0.45,0.73,,,,,,,5
2023-05-03,9.88,4.65,7.00,,,,,,,0.73,0.47,1.06,,,,,,,7
2023-05-04,11.49,6.52,4.88,,,,,,,0.85,0.67,0.74,,,,,,,9
2023-05-05,9.89,8.05,4.74,,,,,,,0.73,0.82,0.72,,,,,,,11
2023-05-06,22.30,0.00,0.00,,,,,,,1.65,0.00,0.00,,,,,,,11
2023-05-07,40.70,0.00,0.00,,,,,,,3.01,0.00,0.00,,,,,,,12
2023-05-08,16.42,5.71,6.22,,,,,,,1.22,0.58,0.94,,,,,,,14
