# Your daily usage (2023-01-13)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2022-12-08,14.65,6.00,3.78,,,,,,,1.08,0.61,0.57,,,,,,,2
2022-12-09,17.21,7.36,10.43,,,,,,,1.27,0.75,1.57,,,,,,,-1
2022-12-10,38.64,0.00,0.00,,,,,,,2.86,0.00,0.00,,,,,,,-3
2022-12-11,61.24,0.00,0.00,,,,,,,4.53,0.00,0.00,,,,,,,-2
2022-12-12,24.48,8.00,7.52,,,,,,,1.81,0.82,1.14,,,,,,,-5
2022-12-13,23.16,7.92,7.15,,,,,,,1.71,0.81,1.08,,,,,,,-5
2022-12-14,17.16,7.02,5.96,,,,,,,1.27,0.72,0.90,,,,,,,-4
2022-12-15,19.15,10.24,5.00,,,,,,,1.42,1.04,0.76,,,,,,,0
2022-12-16,19.55,5.17,7.31,,,,,,,1.45,0.53,1.10,,,,,,,1
2022-12-17,33.35,0.00,0.00,,,,,,,2.47,0.00,0.00,,,,,,,-1
2022-12-18,45.55,0.00,0.00,,,,,,,3.37,0.00,0.00,,,,,,,-1
2022-12-19,19.52,5.79,5.15,,,,,,,1.44,0.59,0.78,,,,,,,-1
2022-12-20,23.14,6.38,5.15,,,,,,,1.71,0.65,0.78,,,,,,,-1
2022-12-21,20.32,6.24,9.24,,,,,,,1.50,0.64,1.40,,,,,,,-3
2022-12-22,21.60,7.48,7.82,,,,,,,1.60,0.76,1.18,,,,,,,0
2022-12-23,18.94,9.00,8.48,,,,,,,1.40,0.92,1.28,,,,,,,-5
2022-12-24,48.72,0.00,0.00,,,,,,,3.61,0.00,0.00,,,,,,,-12
2022-12-25,74.97,0.00,0.00,,,,,,,5.55,0.00,0.00,,,,,,,-7
2022-12-26,45.58,0.00,0.00,,,,,,,3.37,0.00,0.00,,,,,,,-7
2022-12-27,39.47,0.00,0.00,,,,,,,2.92,0.00,0.00,,,,,,,-4
2022-12-28,20.94,6.12,3.40,,,,,,,1.55,0.62,0.51,,,,,,,2
2022-12-29,19.00,10.80,6.56,,,,,,,1.41,1.10,0.99,,,,,,,6
2022-12-30,14.56,6.04,5.10,,,,,,,1.08,0.62,0.77,,,,,,,11
2022-12-31,31.79,0.00,0.00,,,,,,,2.35,0.00,0.00,,,,,,,6
2023-01-01,34.43,0.00,0.00,,,,,,,2.55,0.00,0.00,,,,,,,3
2023-01-02,20.94,0.00,0.00,,,,,,,1.55,0.00,0.00,,,,,,,4
2023-01-03,15.55,10.65,8.10,,,,,,,1.15,1.09,1.22,,,,,,,2
2023-01-04,13.61,8.58,7.12,,,,,,,1.01,0.88,1.08,,,,,,,3
2023-01-05,15.60,8.73,8.77,,,,,,,1.15,0.89,1.32,,,,,,,3
2023-01-06,16.41,10.35,8.46,,,,,,,1.21,1.06,1.28,,,,,,,3
2023-01-07,47.09,0.00,0.00,,,,,,,3.48,0.00,0.00,,,,,,,-1
2023-01-08,54.81,0.00,0.00,,,,,,,4.06,0.00,0.00,,,,,,,-4
2023-01-09,29.98,12.15,6.85,,,,,,,2.22,1.24,1.03,,,,,,,-1
