Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
June 1,4.000,25.70 C,4.20 mm
June 2,1.500,21.90 C,0.00 mm
June 3,0.500,25.70 C,0.20 mm
June 4,0.500,21.10 C,0.00 mm
June 5,0.500,25.20 C,0.80 mm
June 6,0.500,21.70 C,9.20 mm
June 7,0.500,23.00 C,12.60 mm
June 8,0.500,22.30 C,3.60 mm
June 9,0.500,22.40 C,4.00 mm
June 10,0.500,23.00 C,0.00 mm
June 11,0.500,24.10 C,0.00 mm
June 12,1.000,24.70 C,1.20 mm
June 13,0.500,22.30 C,0.00 mm
June 14,0.500,24.50 C,0.00 mm
June 15,0.500,27.10 C,0.00 mm
June 16,0.500,33.30 C,0.00 mm
June 17,3.000,27.30 C,0.00 mm
June 18,3.500,19.80 C,0.00 mm
June 19,1.500,23.10 C,0.00 mm
June 20,1.000,25.40 C,0.00 mm
June 21,0.500,35.30 C,0.00 mm
June 22,1.000,35.50 C,0.00 mm
June 23,0.500,28.30 C,0.00 mm
June 24,0.500,28.50 C,0.00 mm
June 25,0.000,30.70 C,0.00 mm
June 26,1.000,31.40 C,0.40 mm
June 27,0.500,22.00 C,0.00 mm
June 28,0.500,24.10 C,0.00 mm
June 29,1.000,25.20 C,4.20 mm
June 30,0.500,27.60 C,0.00 mm
