Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2023-03-06,13.57,15.98,9.18,,,,,,,1.0,1.63,1.39,,,,,,,-1
2023-03-07,20.16,13.77,13.81,,,,,,,1.49,1.4,2.09,,,,,,,0
2023-03-08,30.24,19.91,10.4,,,,,,,2.24,2.03,1.57,,,,,,,-1
2023-03-09,28.26,10.86,11.81,,,,,,,2.09,1.11,1.78,,,,,,,0
2023-03-10,20.13,8.05,8.19,,,,,,,1.49,0.82,1.24,,,,,,,-1
2023-03-11,38.82,0.0,0.0,,,,,,,2.87,0.0,0.0,,,,,,,-3
2023-03-12,41.91,0.0,0.0,,,,,,,3.1,0.0,0.0,,,,,,,-3
2023-03-13,15.49,11.23,10.4,,,,,,,1.15,1.15,1.57,,,,,,,-1
2023-03-14,20.45,12.98,8.95,,,,,,,1.51,1.32,1.35,,,,,,,-3
2023-03-15,29.51,16.71,11.51,,,,,,,2.18,1.7,1.74,,,,,,,0
2023-03-16,11.18,9.71,6.56,,,,,,,0.83,0.99,0.99,,,,,,,5
2023-03-17,11.52,10.35,3.95,,,,,,,0.85,1.06,0.6,,,,,,,4
2023-03-18,44.92,0.0,0.0,,,,,,,3.32,0.0,0.0,,,,,,,-3
2023-03-19,36.08,0.0,0.0,,,,,,,2.67,0.0,0.0,,,,,,,-4
2023-03-20,10.72,9.4,8.67,,,,,,,0.79,0.96,1.31,,,,,,,2
2023-03-21,12.41,14.01,9.17,,,,,,,0.92,1.43,1.38,,,,,,,6
2023-03-22,15.94,9.66,9.59,,,,,,,1.18,0.99,1.45,,,,,,,4
2023-03-23,11.56,5.1,5.02,,,,,,,0.86,0.52,0.76,,,,,,,3
2023-03-24,9.97,8.06,6.09,,,,,,,0.74,0.82,0.92,,,,,,,2
2023-03-25,28.12,0.0,0.0,,,,,,,2.08,0.0,0.0,,,,,,,5
2023-03-26,33.67,0.0,0.0,,,,,,,2.49,0.0,0.0,,,,,,,6
2023-03-27,18.57,6.57,8.76,,,,,,,1.37,0.67,1.32,,,,,,,3
2023-03-28,12.41,11.07,4.57,,,,,,,0.92,1.13,0.69,,,,,,,4
2023-03-29,14.15,17.81,7.01,,,,,,,1.05,1.82,1.06,,,,,,,1
2023-03-30,12.51,13.64,2.32,,,,,,,0.93,1.39,0.35,,,,,,,-1
2023-03-31,9.25,9.03,5.42,,,,,,,0.68,0.92,0.82,,,,,,,3
2023-04-01,25.65,0.0,0.0,,,,,,,1.9,0.0,0.0,,,,,,,6
2023-04-02,32.81,0.0,0.0,,,,,,,2.43,0.0,0.0,,,,,,,-1
2023-04-03,11.91,11.23,3.71,,,,,,,0.88,1.15,0.56,,,,,,,7
2023-04-04,13.04,6.64,4.42,,,,,,,0.96,0.68,0.67,,,,,,,8
2023-04-05,12.09,10.97,7.32,,,,,,,0.89,1.12,1.11,,,,,,,9
2023-04-06,10.89,4.56,3.94,,,,,,,0.81,0.47,0.59,,,,,,,9
2023-04-07,28.42,0.0,0.0,,,,,,,2.1,0.0,0.0,,,,,,,2
2023-04-08,38.36,0.0,0.0,,,,,,,2.84,0.0,0.0,,,,,,,1
2023-04-09,46.51,0.0,0.0,,,,,,,3.44,0.0,0.0,,,,,,,5
2023-04-10,17.04,12.37,11.93,,,,,,,1.26,1.26,1.8,,,,,,,11
2023-04-11,13.63,6.74,5.88,,,,,,,1.01,0.69,0.89,,,,,,,16
2023-04-12,7.03,5.27,9.06,,,,,,,0.52,0.54,1.37,,,,,,,19
2023-04-13,10.6,5.86,5.55,,,,,,,0.78,0.6,0.84,,,,,,,21
2023-04-14,9.49,8.08,6.91,,,,,,,0.7,0.82,1.04,,,,,,,20
2023-04-15,26.84,0.0,0.0,,,,,,,1.99,0.0,0.0,,,,,,,18
2023-04-16,32.61,0.0,0.0,,,,,,,2.41,0.0,0.0,,,,,,,17
2023-04-17,14.22,5.45,5.75,,,,,,,1.05,0.56,0.87,,,,,,,6
2023-04-18,13.57,4.35,8.05,,,,,,,1.0,0.44,1.22,,,,,,,3
2023-04-19,13.13,7.28,5.92,,,,,,,0.97,0.74,0.89,,,,,,,5
2023-04-20,24.09,12.47,7.24,,,,,,,1.78,1.27,1.09,,,,,,,7
2023-04-21,21.44,8.47,6.4,,,,,,,1.59,0.86,0.97,,,,,,,14
2023-04-22,43.85,0.0,0.0,,,,,,,3.24,0.0,0.0,,,,,,,9
2023-04-23,39.57,0.0,0.0,,,,,,,2.93,0.0,0.0,,,,,,,6
2023-04-24,13.09,8.26,9.61,,,,,,,0.97,0.84,1.45,,,,,,,6
2023-04-25,12.3,8.66,5.92,,,,,,,0.91,0.88,0.89,,,,,,,7
2023-04-26,9.53,6.14,6.34,,,,,,,0.71,0.63,0.96,,,,,,,5
2023-04-27,15.16,12.93,7.89,,,,,,,1.12,1.32,1.19,,,,,,,6
2023-04-28,10.67,8.47,5.27,,,,,,,0.79,0.86,0.8,,,,,,,10
2023-04-29,24.05,0.0,0.0,,,,,,,1.78,0.0,0.0,,,,,,,8
2023-04-30,35.42,0.0,0.0,,,,,,,2.62,0.0,0.0,,,,,,,9
2023-05-01,9.73,4.4,4.99,,,,,,,0.72,0.45,0.75,,,,,,,8
2023-05-02,11.59,4.43,4.83,,,,,,,0.86,0.45,0.73,,,,,,,5
2023-05-03,9.88,4.65,7.0,,,,,,,0.73,0.47,1.06,,,,,,,7
2023-05-04,11.49,6.52,4.88,,,,,,,0.85,0.67,0.74,,,,,,,9
2023-05-05,9.89,8.05,4.74,,,,,,,0.73,0.82,0.72,,,,,,,11
2023-05-06,22.3,0.0,0.0,,,,,,,1.65,0.0,0.0,,,,,,,11
2023-05-07,40.7,0.0,0.0,,,,,,,3.01,0.0,0.0,,,,,,,12
2023-05-08,16.42,5.71,6.22,,,,,,,1.22,0.58,0.94,,,,,,,14
2023-05-09,13.96,5.82,5.81,,,,,,,1.03,0.59,0.88,,,,,,,11
2023-05-10,10.78,4.32,5.37,,,,,,,0.8,0.44,0.81,,,,,,,13
2023-05-11,11.21,5.24,7.93,,,,,,,0.83,0.53,1.2,,,,,,,18
2023-05-12,14.12,9.03,14.63,,,,,,,1.04,0.92,2.21,,,,,,,22
2023-05-13,36.06,0.0,0.0,,,,,,,2.67,0.0,0.0,,,,,,,18
2023-05-14,29.66,0.0,0.0,,,,,,,2.19,0.0,0.0,,,,,,,13
2023-05-15,11.06,7.01,9.86,,,,,,,0.82,0.72,1.49,,,,,,,15
2023-05-16,10.18,4.75,6.13,,,,,,,0.75,0.48,0.93,,,,,,,15
2023-05-17,8.96,6.77,7.52,,,,,,,0.66,0.69,1.14,,,,,,,6
2023-05-18,8.1,6.18,5.87,,,,,,,0.6,0.63,0.89,,,,,,,8
2023-05-19,8.82,5.78,5.07,,,,,,,0.65,0.59,0.77,,,,,,,15
2023-05-20,29.83,0.0,0.0,,,,,,,2.21,0.0,0.0,,,,,,,14
2023-05-21,22.52,0.0,0.0,,,,,,,1.67,0.0,0.0,,,,,,,16
2023-05-22,27.12,0.0,0.0,,,,,,,2.01,0.0,0.0,,,,,,,13
2023-05-23,15.69,8.23,8.06,,,,,,,1.16,0.84,1.22,,,,,,,14
2023-05-24,9.62,5.09,6.82,,,,,,,0.71,0.52,1.03,,,,,,,11
2023-05-25,10.04,8.03,7.13,,,,,,,0.74,0.82,1.08,,,,,,,10
2023-05-26,9.39,5.95,4.56,,,,,,,0.69,0.61,0.69,,,,,,,13
2023-05-27,23.02,0.0,0.0,,,,,,,1.7,0.0,0.0,,,,,,,16
2023-05-28,38.39,0.0,0.0,,,,,,,2.84,0.0,0.0,,,,,,,20
2023-05-29,10.71,5.85,5.03,,,,,,,0.79,0.6,0.76,,,,,,,19
2023-05-30,8.08,5.04,6.45,,,,,,,0.6,0.51,0.97,,,,,,,21
2023-05-31,13.86,6.81,6.18,,,,,,,1.03,0.69,0.93,,,,,,,24
2023-06-01,15.42,9.18,4.87,,,,,,,1.14,0.94,0.74,,,,,,,25
2023-06-02,17.1,7.42,6.39,,,,,,,1.27,0.76,0.96,,,,,,,26
2023-06-03,69.51,0.0,0.0,,,,,,,5.14,0.0,0.0,,,,,,,19
2023-06-04,44.22,0.0,0.0,,,,,,,3.27,0.0,0.0,,,,,,,16
2023-06-05,13.95,6.11,10.1,,,,,,,1.03,0.62,1.53,,,,,,,19
2023-06-06,20.49,11.02,9.8,,,,,,,1.52,1.12,1.48,,,,,,,19
2023-06-07,12.96,7.32,4.36,,,,,,,0.96,0.75,0.66,,,,,,,17
