Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
June 1,1.500,25.70 C,0.00 mm
June 2,1.500,25.30 C,4.40 mm
June 3,1.000,22.20 C,2.60 mm
June 4,1.000,28.20 C,0.00 mm
June 5,1.500,32.50 C,0.00 mm
June 6,1.500,33.80 C,0.00 mm
June 7,1.500,31.80 C,0.00 mm
June 8,1.000,26.50 C,10.20 mm
June 9,1.000,29.40 C,0.00 mm
June 10,1.500,25.30 C,0.00 mm
June 11,1.000,25.30 C,0.00 mm
June 12,0.500,25.40 C,0.00 mm
June 13,1.500,29.10 C,0.00 mm
June 14,1.000,25.00 C,2.80 mm
June 15,1.000,22.50 C,0.00 mm
June 16,1.500,22.30 C,0.00 mm
June 17,1.500,26.30 C,0.00 mm
June 18,1.000,24.90 C,5.40 mm
June 19,1.500,30.90 C,0.00 mm
June 20,1.000,27.10 C,0.20 mm
June 21,1.000,29.70 C,5.80 mm
June 22,1.000,19.50 C,0.00 mm
June 23,2.000,23.70 C,0.00 mm
June 24,1.500,28.10 C,0.00 mm
June 25,2.000,25.80 C,16.40 mm
June 26,2.000,27.50 C,5.60 mm
June 27,1.000,31.30 C,0.00 mm
June 28,3.000,32.20 C,3.00 mm
June 29,1.000,32.50 C,23.20 mm
June 30,1.000,28.00 C,0.40 mm
