Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
January 1,1.000,1.60 C,8.00 mm
January 2,0.500,1.20 C,6.80 mm
January 3,1.000,1.10 C,1.60 mm
January 4,1.000,1.10 C,0.00 mm
January 5,0.500,1.00 C,0.20 mm
January 6,1.000,2.00 C,0.20 mm
January 7,0.500,-0.60 C,0.00 mm
January 8,1.000,-3.50 C,0.00 mm
January 9,0.500,3.30 C,0.00 mm
January 10,1.000,1.90 C,0.00 mm
January 11,0.500,0.20 C,0.00 mm
January 12,1.000,-1.20 C,0.00 mm
January 13,1.000,3.10 C,0.00 mm
January 14,0.500,4.60 C,0.00 mm
January 15,1.000,5.60 C,5.00 mm
January 16,0.500,4.70 C,0.00 mm
January 17,0.500,4.20 C,0.60 mm
January 18,1.000,0.90 C,0.00 mm
January 19,1.000,0.00 C,0.60 mm
January 20,1.000,-2.20 C,0.00 mm
January 21,0.500,3.10 C,0.20 mm
January 22,1.000,1.00 C,0.40 mm
January 23,1.000,-4.80 C,0.00 mm
January 24,0.500,-2.70 C,0.00 mm
January 25,1.000,1.90 C,0.00 mm
January 26,0.500,-0.50 C,7.40 mm
January 27,1.000,-3.30 C,0.00 mm
January 28,2.500,-7.80 C,0.00 mm
January 29,1.500,-7.10 C,0.20 mm
January 30,0.500,-2.20 C,0.00 mm
January 31,1.500,-5.20 C,0.00 mm
