Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
May 1,0.500,13.80 C,0.00 mm
May 2,1.000,17.40 C,0.00 mm
May 3,0.500,12.80 C,2.40 mm
May 4,1.500,11.90 C,3.40 mm
May 5,0.500,12.10 C,1.20 mm
May 6,1.000,14.40 C,0.00 mm
May 7,1.000,10.10 C,0.00 mm
May 8,0.500,15.40 C,0.00 mm
May 9,1.000,12.00 C,0.00 mm
May 10,1.500,13.70 C,0.00 mm
May 11,1.000,10.70 C,0.00 mm
May 12,1.000,17.90 C,0.00 mm
May 13,1.000,20.30 C,0.00 mm
May 14,1.500,21.20 C,0.00 mm
May 15,1.000,21.80 C,0.00 mm
May 16,1.000,22.60 C,0.00 mm
May 17,1.000,23.70 C,0.00 mm
May 18,1.000,27.90 C,0.00 mm
May 19,1.500,28.00 C,0.00 mm
May 20,1.000,29.90 C,0.00 mm
May 21,3.000,31.70 C,0.00 mm
May 22,1.000,27.60 C,0.00 mm
May 23,1.500,25.00 C,0.00 mm
May 24,1.000,21.00 C,0.00 mm
May 25,1.500,33.30 C,0.00 mm
May 26,1.000,25.40 C,0.60 mm
May 27,1.000,18.70 C,0.00 mm
May 28,0.500,9.90 C,14.20 mm
May 29,1.000,15.80 C,0.00 mm
May 30,1.000,19.10 C,0.00 mm
May 31,1.000,24.40 C,0.00 mm
