# Your daily usage (2022-06-13)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2022-05-07,19.50,0.00,0.00,,,,,,,1.60,0.00,0.00,,,,,,,10
2022-05-08,20.53,0.00,0.00,,,,,,,1.68,0.00,0.00,,,,,,,11
2022-05-09,9.43,3.56,8.90,,,,,,,0.77,0.40,1.51,,,,,,,12
2022-05-10,13.15,4.34,6.51,,,,,,,1.08,0.49,1.11,,,,,,,15
2022-05-11,15.91,6.94,6.02,,,,,,,1.30,0.78,1.02,,,,,,,17
2022-05-12,9.65,7.23,10.47,,,,,,,0.79,0.82,1.78,,,,,,,19
2022-05-13,9.10,4.52,9.59,,,,,,,0.75,0.51,1.63,,,,,,,20
2022-05-14,26.97,0.00,0.00,,,,,,,2.21,0.00,0.00,,,,,,,21
2022-05-15,28.80,0.00,0.00,,,,,,,2.36,0.00,0.00,,,,,,,22
2022-05-16,12.45,6.01,13.39,,,,,,,1.02,0.68,2.28,,,,,,,
2022-05-17,13.98,6.64,10.40,,,,,,,1.15,0.75,1.77,,,,,,,12
2022-05-18,16.36,7.03,10.21,,,,,,,1.34,0.79,1.74,,,,,,,10
2022-05-19,18.54,6.10,9.53,,,,,,,1.52,0.69,1.62,,,,,,,16
2022-05-20,21.82,10.03,10.43,,,,,,,1.79,1.13,1.77,,,,,,,18
2022-05-21,27.28,0.00,0.00,,,,,,,2.24,0.00,0.00,,,,,,,23
2022-05-22,25.25,0.00,0.00,,,,,,,2.07,0.00,0.00,,,,,,,13
2022-05-23,33.38,0.00,0.00,,,,,,,2.74,0.00,0.00,,,,,,,12
2022-05-24,26.46,9.03,5.46,,,,,,,2.17,1.02,0.93,,,,,,,13
2022-05-25,19.75,10.67,10.20,,,,,,,1.62,1.21,1.73,,,,,,,15
2022-05-26,21.77,5.51,8.61,,,,,,,1.79,0.62,1.46,,,,,,,20
2022-05-27,12.27,6.97,7.30,,,,,,,1.01,0.79,1.24,,,,,,,20
2022-05-28,44.03,0.00,0.00,,,,,,,3.61,0.00,0.00,,,,,,,18
2022-05-29,34.35,0.00,0.00,,,,,,,2.82,0.00,0.00,,,,,,,19
2022-05-30,9.45,4.16,8.78,,,,,,,0.77,0.47,1.49,,,,,,,24
2022-05-31,10.12,4.50,10.05,,,,,,,0.83,0.51,1.71,,,,,,,27
2022-06-01,10.95,5.54,6.61,,,,,,,0.90,0.63,1.12,,,,,,,19
2022-06-02,11.05,5.05,7.75,,,,,,,0.91,0.57,1.32,,,,,,,16
2022-06-03,10.96,5.71,6.71,,,,,,,0.90,0.65,1.14,,,,,,,17
2022-06-04,29.71,0.00,0.00,,,,,,,2.44,0.00,0.00,,,,,,,14
2022-06-05,30.33,0.00,0.00,,,,,,,2.49,0.00,0.00,,,,,,,18
2022-06-06,16.78,4.27,6.64,,,,,,,1.38,0.48,1.13,,,,,,,18
2022-06-07,21.60,7.06,9.61,,,,,,,1.77,0.80,1.63,,,,,,,17
