# Your daily usage (2022-12-13)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2022-11-09,20.03,12.19,16.42,,,,,,,1.48,1.24,2.48,,,,,,,8
2022-11-10,16.97,11.33,7.06,,,,,,,1.26,1.16,1.07,,,,,,,15
2022-11-11,21.60,5.35,7.44,,,,,,,1.60,0.55,1.12,,,,,,,13
2022-11-12,55.73,0.00,0.00,,,,,,,4.12,0.00,0.00,,,,,,,7
2022-11-13,54.96,0.00,0.00,,,,,,,4.07,0.00,0.00,,,,,,,1
2022-11-14,21.45,11.92,11.36,,,,,,,1.59,1.22,1.72,,,,,,,1
2022-11-15,27.42,10.64,12.64,,,,,,,2.03,1.09,1.91,,,,,,,-1
2022-11-16,36.27,8.50,13.14,,,,,,,2.68,0.87,1.98,,,,,,,0
2022-11-17,19.47,11.80,15.84,,,,,,,1.44,1.20,2.39,,,,,,,-1
2022-11-18,31.70,21.97,12.55,,,,,,,2.35,2.24,1.90,,,,,,,-1
2022-11-19,48.66,0.00,0.00,,,,,,,3.60,0.00,0.00,,,,,,,-3
2022-11-20,74.69,0.00,0.00,,,,,,,5.53,0.00,0.00,,,,,,,-5
2022-11-21,38.86,7.88,14.36,,,,,,,2.88,0.80,2.17,,,,,,,0
2022-11-22,29.45,11.17,8.85,,,,,,,2.18,1.14,1.34,,,,,,,2
2022-11-23,24.11,9.30,7.79,,,,,,,1.78,0.95,1.18,,,,,,,3
2022-11-24,27.01,14.05,11.56,,,,,,,2.00,1.43,1.75,,,,,,,4
2022-11-25,15.60,11.44,9.64,,,,,,,1.15,1.17,1.46,,,,,,,4
2022-11-26,50.78,0.00,0.00,,,,,,,3.76,0.00,0.00,,,,,,,7
2022-11-27,25.84,0.00,0.00,,,,,,,1.91,0.00,0.00,,,,,,,5
2022-11-28,10.87,8.14,6.88,,,,,,,0.80,0.83,1.04,,,,,,,2
2022-11-29,10.88,9.01,5.99,,,,,,,0.81,0.92,0.90,,,,,,,4
2022-11-30,18.67,5.05,4.45,,,,,,,1.38,0.52,0.67,,,,,,,4
2022-12-01,19.12,13.23,4.99,,,,,,,1.41,1.35,0.75,,,,,,,-1
2022-12-02,15.49,5.81,4.15,,,,,,,1.15,0.59,0.63,,,,,,,2
2022-12-03,39.97,0.00,0.00,,,,,,,2.96,0.00,0.00,,,,,,,5
2022-12-04,48.70,0.00,0.00,,,,,,,3.60,0.00,0.00,,,,,,,-1
2022-12-05,11.68,6.97,5.74,,,,,,,0.86,0.71,0.87,,,,,,,3
2022-12-06,12.15,6.56,7.44,,,,,,,0.90,0.67,1.12,,,,,,,5
2022-12-07,14.81,5.88,5.59,,,,,,,1.10,0.60,0.84,,,,,,,5
